account,type,description
Assets:Bank:Checking,asset,Operating checking account held at Fenland Mutual Bank
Assets:AR,asset,Trade receivables from wholesale customers
Assets:Inventory,asset,Ingredients and finished goods held for sale
Assets:Prepayments,asset,Amounts paid in advance of the period they relate to
Liabilities:AP,liability,Trade payables to suppliers
Liabilities:SalesTax-Payable,liability,Sales tax collected from customers and owed to the state
Income:Sales,income,Revenue from wholesale bakery sales
Expenses:COGS,expense,Cost of goods sold
Expenses:BankFees,expense,Bank service charges and transaction fees
Expenses:SmallBalanceWriteOffs,expense,Short payments within the cash application tolerance written off on receipt
Equity:Opening,equity,Opening balance equity
