date,description,reference,debit,credit,balance
2025-10-01,Opening balance carried forward,,,,47029.60
2025-10-06,CHECK 1144 QUAYSIDE HOLDINGS,1144,4275.00,,42754.60
2025-10-07,DEBIT CARD HELMSIGHT SOFTWARE,,236.40,,42518.20
2025-10-08,CHECK 1145 SEAFORTH CORDAGE AND RIGGING,1145,4618.30,,37899.90
2025-10-09,CHECK 2044 BLUEWATER MARINE SERVICES LLC,2044,2400.00,,35499.90
2025-10-09,ACH IN KITTIWAKE CHARTERS,SI-2198,,6069.60,41569.50
2025-10-11,DEBIT CARD SHEARWATER TELECOM,,312.75,,41256.75
2025-10-13,ACCOUNT ANALYSIS FEE FOR SEPTEMBER,,35.00,,41221.75
2025-10-14,CHECK 2045 NADIA OKONKWO,2045,412.36,,40809.39
2025-10-14,DEBIT CARD WAVECREST MARINE FUEL,,173.62,,40635.77
2025-10-16,CHECK 2046 GULLWING DOCK EQUIPMENT,2046,3685.40,,36950.37
2025-10-16,ACH IN TIDEWATER BOATWORKS,SI-2206,,1370.67,38321.04
2025-10-17,DEBIT CARD DOCKSIDE OFFICE SUPPLY,,148.29,,38172.75
2025-10-17,ACH OUT PETREL PAINT AND COATINGS,PI-7766,2475.40,,35697.35
2025-10-17,CHECK 1146 STATE DEPARTMENT OF REVENUE,1146,2318.46,,33378.89
2025-10-20,CHECK 2047 LIGHTHOUSE MUTUAL INSURANCE,2047,1962.50,,31416.39
2025-10-21,DEBIT CARD CORMORANT ENGINE REPAIR,,264.85,,31151.54
2025-10-21,ACH OUT NORTHSTAR MARINE ELECTRONICS,PI-7758,2689.45,,28462.09
2025-10-22,CHECK 2048 CALLUM FERRIER,2048,287.90,,28174.19
2025-10-23,DEBIT CARD PUFFIN INN AND SUITES,,486.15,,27688.04
2025-10-23,CHECK 5528 OSPREY COVE MARINA,5528,,5266.08,32954.12
2025-10-24,CHECK 2049 BLUEWATER MARINE SERVICES LLC,2049,3500.00,,29454.12
2025-10-27,ACH IN TIDEWATER BOATWORKS,SI-2211,,4225.77,33679.89
2025-10-29,CHECK 2051 INGRID SOLVANG,2051,2647.80,,31032.09
2025-10-30,CHECK 2050 MARCUS PELLERIN,2050,2984.15,,28047.94
2025-10-30,ACH IN KITTIWAKE CHARTERS,SI-2216,,3950.00,31997.94
2025-10-31,MONTHLY SERVICE CHARGE AND CHECK IMAGE FEES,,54.00,,31943.94
2025-10-31,CHECK 2052 THEO BARROWMAN,2052,2312.55,,29631.39
2025-10-31,CHECK 2053 FEDERAL REVENUE SERVICE,2053,1476.30,,28155.09
