date,description,reference,debit,credit,balance
2025-11-04,DEBIT CARD LOAFLINE SOFTWARE,,129.00,,61079.47
2025-11-05,CHECK 2071 ASHGROVE COMMERCIAL PROPERTIES,2071,2850.00,,58229.47
2025-11-07,DEBIT CARD SKYLARK TELECOM,,158.77,,58070.70
2025-11-10,ACH OUT BRAMBLEWOOD FLOUR MILLS,PI-7712,4218.75,,53851.95
2025-11-12,CHECK 3138 ROSALIND ACHTERBERG,3138,276.80,,53575.15
2025-11-13,DEBIT CARD FLEETFUEL CARD SERVICES,,205.90,,53369.25
2025-11-17,CHECK 3139 STILLWATER MUTUAL INSURANCE,3139,718.25,,52651.00
2025-11-17,ACH IN TIDEWELL COFFEE ROASTERS,SI-4118,,4193.15,56844.15
2025-11-18,CHECK 2072 COMMONWEALTH REVENUE SERVICE,2072,5312.94,,51531.21
2025-11-19,DEBIT CARD MILLSTONE MECHANICAL SERVICES,,372.40,,51158.81
2025-11-20,DEBIT CARD PAPERBARK OFFICE SUPPLY,,64.28,,51094.53
2025-11-21,CHECK 3140 COMMONWEALTH SALES TAX BUREAU,3140,968.44,,50126.09
2025-11-24,ACH OUT BRAMBLEWOOD FLOUR MILLS,PI-7728,3671.30,,46454.79
2025-11-24,CHECK 5488 WINTERGREEN HOTEL KITCHENS,5488,,2874.35,49329.14
2025-11-25,CHECK 3141 HAWTHORN CAFE LLC,3141,3800.00,,45529.14
2025-11-25,ACH IN FENNIMORE STREET GROCERS,SI-4102,,8742.60,54271.74
2025-11-26,CHECK 2076 HAMISH ABERNATHY,2076,2186.20,,52085.54
2025-11-26,CHECK 2073 MARISOL FENTRESS,2073,3412.60,,48672.94
2025-11-26,ACH OUT FALLOWFIELD DAIRY COOPERATIVE,PI-7756,1864.30,,46808.64
2025-11-27,DEBIT CARD FLEETFUEL CARD SERVICES,,189.15,,46619.49
2025-11-28,MONTHLY ACCOUNT SERVICE CHARGE,,42.50,,46576.99
2025-11-28,CHECK 2074 DECLAN OYELARAN,2074,2948.35,,43628.64
2025-11-28,CHECK 2077 PRIYA SUNDARAM,2077,1573.85,,42054.79
2025-11-28,CHECK 2075 TEODORA VUKOVIC,2075,2731.90,,39322.89
