date,description,reference,debit,credit,balance
2026-01-06,DEBIT CARD GRIDLINE CAD SOFTWARE,,174.00,,31668.15
2026-01-07,ACH IN WEXFORD HOMES LLC,SI-0871,,6480.00,38148.15
2026-01-08,CHECK 2041 RUTH ABERNATHY,2041,412.75,,37735.40
2026-01-08,DEBIT CARD NORTHPOINT CELLULAR,,238.92,,37496.48
2026-01-09,DEBIT CARD FUELWISE FLEET CARD,,638.42,,36858.06
2026-01-14,ACH OUT PLUMBLINE INSTRUMENTS INC,PI-3302,1725.60,,35132.46
2026-01-19,CHECK 3101 SENTINEL MUTUAL INSURANCE,3101,624.10,,34508.36
2026-01-20,CHECK 3102 NATIONAL REVENUE AGENCY,3102,1842.30,,32666.06
2026-01-21,ACH IN TALBOT CREEK DEVELOPMENTS,SI-0876,,5136.00,37802.06
2026-01-21,ACH OUT STAKELINE SURVEY SUPPLY,SL-1162,1188.45,,36613.61
2026-01-22,CHECK 3103 STATE DEPARTMENT OF TAXATION,3103,702.35,,35911.26
2026-01-23,CHECK 2042 CALEB OSTROWSKI,2042,186.30,,35724.96
2026-01-27,CHECK 3104 FALCON RIDGE GEOMATICS LLC,3104,4000.00,,31724.96
2026-01-29,CHECK 3105 LIONEL GARVEY,3105,3198.20,,28526.76
2026-01-30,MONTHLY ACCOUNT SERVICE CHARGE,,18.00,,28508.76
2026-01-30,CHECK 3106 NADIA PETRAKIS,3106,2860.75,,25648.01
2026-01-30,CHECK 3107 TOMAS REINHOLT,3107,2533.10,,23114.91
