date,description,reference,debit,credit,balance
2026-02-01,Opening balance carried forward,,,,23114.91
2026-02-04,DEBIT CARD GRIDLINE CAD SOFTWARE,,189.00,,22925.91
2026-02-06,CHECK 2043 RUTH ABERNATHY,2043,547.90,,22378.01
2026-02-09,ACH IN WEXFORD HOMES LLC,SI-0879,,4815.50,27193.51
2026-02-10,CHECK 2044 DEV RAMASWAMY,2044,683.25,,26510.26
2026-02-10,DEBIT CARD NORTHPOINT CELLULAR,,243.17,,26267.09
2026-02-11,CHECK 3108 BENCHMARK POSITIONING SYSTEMS,3108,6485.00,,19782.09
2026-02-11,DEBIT CARD FUELWISE FLEET CARD,,712.86,,19069.23
2026-02-12,CHECK 3109 FALCON RIDGE GEOMATICS LLC,3109,5250.00,,13819.23
2026-02-12,ACH OUT PLUMBLINE INSTRUMENTS INC,PI-3309,2348.20,,11471.03
2026-02-13,OUTGOING ACH BATCH FEE,,12.50,,11458.53
2026-02-13,CHECK 2045 CALEB OSTROWSKI,2045,158.64,,11299.89
2026-02-13,DEBIT CARD CALIBRA INSTRUMENT SERVICE,,385.60,,10914.29
2026-02-16,DEBIT CARD INKWELL PRINT AND COPY,,96.44,,10817.85
2026-02-17,CHECK 2046 MARISOL FUENTES,2046,231.48,,10586.37
2026-02-17,CHECK 5518 KESTWICK FARMS LLC,5518,,2500.00,13086.37
2026-02-18,CHECK 3110 NATIONAL REVENUE AGENCY,3110,1867.45,,11218.92
2026-02-19,CHECK 3111 SENTINEL MUTUAL INSURANCE,3111,638.75,,10580.17
2026-02-19,ACH IN TALBOT CREEK DEVELOPMENTS,SI-0881,,7276.00,17856.17
2026-02-20,CHECK 3112 STATE DEPARTMENT OF TAXATION,3112,791.50,,17064.67
2026-02-20,ACH OUT STAKELINE SURVEY SUPPLY,SL-1187,1432.75,,15631.92
2026-02-24,CHECK 2047 RUTH ABERNATHY,2047,396.10,,15235.82
2026-02-25,CHECK 3113 BENCHMARK POSITIONING SYSTEMS,3113,1248.75,,13987.07
2026-02-25,ACH IN WEXFORD HOMES LLC,SI-0884,,5778.00,19765.07
2026-02-26,CHECK 3114 FALCON RIDGE GEOMATICS LLC,3114,3175.00,,16590.07
2026-02-26,CHECK 3116 LIONEL GARVEY,3116,3214.60,,13375.47
2026-02-27,MONTHLY SERVICE CHARGE AND CHECK PRINTING ORDER,,47.25,,13328.22
2026-02-27,CHECK 3117 NADIA PETRAKIS,3117,2876.35,,10451.87
2026-02-27,CHECK 3118 TOMAS REINHOLT,3118,2541.80,,7910.07
2026-02-27,CHECK 3115 STAKELINE SURVEY SUPPLY,3115,968.40,,6941.67
