date,description,reference,debit,credit,balance
2025-12-01,Opening balance carried forward,,,,39322.89
2025-12-02,ACH IN TIDEWELL COFFEE ROASTERS,SI-4127,,4367.40,43690.29
2025-12-02,DEBIT CARD LOAFLINE SOFTWARE,,149.00,,43541.29
2025-12-03,CHECK 2078 ASHGROVE COMMERCIAL PROPERTIES,2078,2987.50,,40553.79
2025-12-04,DEBIT CARD FLEETFUEL CARD SERVICES,,214.60,,40339.19
2025-12-08,CHECK PRINTING CHARGE,,36.80,,40302.39
2025-12-08,ACH OUT BRAMBLEWOOD FLOUR MILLS,PI-7745,3864.20,,36438.19
2025-12-08,CHECK 5517 WINTERGREEN HOTEL KITCHENS,5517,,3218.60,39656.79
2025-12-08,DEBIT CARD SKYLARK TELECOM,,163.42,,39493.37
2025-12-09,CHECK 3143 HAWTHORN CAFE LLC,3143,4250.00,,35243.37
2025-12-09,CHECK 3142 ROSALIND ACHTERBERG,3142,312.45,,34930.92
2025-12-10,ACH OUT FALLOWFIELD DAIRY COOPERATIVE,PI-7793,1782.60,,33148.32
2025-12-11,DEBIT CARD PAPERBARK OFFICE SUPPLY,,87.36,,33060.96
2025-12-12,CHECK 3144 KETTLEWORTH BAKERY EQUIPMENT,3144,6480.00,,26580.96
2025-12-12,DEBIT CARD MILLSTONE MECHANICAL SERVICES,,486.90,,26094.06
2025-12-16,CHECK 3145 STILLWATER MUTUAL INSURANCE,3145,734.60,,25359.46
2025-12-16,ACH IN TIDEWELL COFFEE ROASTERS,SI-4139,,4330.10,29689.56
2025-12-17,CHECK 2079 COMMONWEALTH REVENUE SERVICE,2079,5487.62,,24201.94
2025-12-17,DEBIT CARD TOLLGATE TRAVEL,,342.80,,23859.14
2025-12-18,DEBIT CARD FLEETFUEL CARD SERVICES,,198.35,,23660.79
2025-12-19,CHECK 3146 TESSALY BOX AND PACKAGING,3146,1148.25,,22512.54
2025-12-22,ACH OUT BRAMBLEWOOD FLOUR MILLS,PI-7781,4507.90,,18004.64
2025-12-22,CHECK 5533 WINTERGREEN HOTEL KITCHENS,5533,,2000.00,20004.64
2025-12-23,CHECK 3148 HAWTHORN CAFE LLC,3148,3175.00,,16829.64
2025-12-23,CHECK 3147 COMMONWEALTH SALES TAX BUREAU,3147,1001.18,,15828.46
2025-12-23,ACH IN FENNIMORE STREET GROCERS,SI-4131,,9126.90,24955.36
2025-12-24,CHECK 3149 CALLUM PETRAKIS,3149,587.30,,24368.06
2025-12-24,ACH OUT FALLOWFIELD DAIRY COOPERATIVE,PI-7816,1937.45,,22430.61
2025-12-30,CHECK 2080 MARISOL FENTRESS,2080,3587.15,,18843.46
2025-12-30,CHECK 2081 DECLAN OYELARAN,2081,3064.80,,15778.66
2025-12-30,CHECK 3150 KETTLEWORTH BAKERY EQUIPMENT,3150,2915.75,,12862.91
2025-12-30,ACH IN TIDEWELL COFFEE ROASTERS,SI-4146,,4176.40,17039.31
2025-12-31,MONTHLY ACCOUNT SERVICE CHARGE,,47.25,,16992.06
2025-12-31,CHECK 2084 PRIYA SUNDARAM,2084,1642.30,,15349.76
2025-12-31,CHECK 2082 TEODORA VUKOVIC,2082,2876.45,,12473.31
