date,description,reference,debit,credit,balance
2025-12-01,Opening balance carried forward,,,,66713.25
2025-12-02,DEBIT CARD CLOUDPAW PRACTICE SOFTWARE,,214.20,,66499.05
2025-12-03,ACH IN TALLGRASS EQUESTRIAN CENTRE,SI-7311,,3402.60,69901.65
2025-12-04,CHECK 4173 KILBRIDE PROPERTY HOLDINGS,4173,3187.25,,66714.40
2025-12-04,DEBIT CARD ASHGROVE AUTOCLAVE REPAIRS,,386.75,,66327.65
2025-12-05,DEBIT CARD SUMMERLEE FUEL CARDS,,173.28,,66154.37
2025-12-08,CHECK 6208 MAPLE STREET EQUINE SERVICES LLC,6208,5000.00,,61154.37
2025-12-08,DEBIT CARD ORBITLINE TELECOM,,151.09,,61003.28
2025-12-11,DEBIT CARD PAPERBARK STATIONERY CO,,87.42,,60915.86
2025-12-11,ACH OUT CORBETT VETERINARY SUPPLIES,PI-5131,2486.35,,58429.51
2025-12-12,CHECK 6209 HAMISH BRODERICK,6209,412.85,,58016.66
2025-12-12,RETURNED ITEM FEE,,35.00,,57981.66
2025-12-16,CHECK 6210 LUMENVET IMAGING SYSTEMS,6210,7850.00,,50131.66
2025-12-17,CHECK 2218 BRAMBLEWOOD ANIMAL RESCUE,2218,,1027.20,51158.86
2025-12-18,CHECK 4174 SHIELDSTONE MUTUAL INSURANCE,4174,648.90,,50509.96
2025-12-18,CHECK 6211 FEDERAL REVENUE SERVICE,6211,2214.36,,48295.60
2025-12-19,CHECK 6212 INGRID SOLLUND,6212,736.40,,47559.20
2025-12-19,DEBIT CARD STATE REVENUE DEPARTMENT,,289.80,,47269.40
2025-12-19,ACH IN TALLGRASS EQUESTRIAN CENTRE,SI-7319,,2500.00,49769.40
2025-12-22,DEBIT CARD SUMMERLEE FUEL CARDS,,204.61,,49564.79
2025-12-22,ACH IN HOLLYBROOK BOARDING KENNELS,SI-7318,,2075.80,51640.59
2025-12-23,ACH OUT CORBETT VETERINARY SUPPLIES,PI-5136,1742.60,,49897.99
2025-12-23,CHECK 6213 FERNLEIGH LABORATORY SUPPLIES,6213,2264.75,,47633.24
2025-12-29,CHECK 6214 MAPLE STREET EQUINE SERVICES LLC,6214,4750.00,,42883.24
2025-12-29,CHECK 6215 ROSALIND ACHTERMAN,6215,4917.62,,37965.62
2025-12-30,CHECK 6216 MARCUS OYELARAN,6216,3188.04,,34777.58
2025-12-30,ACH IN BRAMBLEWOOD ANIMAL RESCUE,SI-7320,,1353.55,36131.13
2025-12-31,MONTHLY SERVICE CHARGE AND ITEM FEES,,51.25,,36079.88
2025-12-31,CHECK 6217 FIONA TREMBLAY,6217,2506.31,,33573.57
