date,description,reference,debit,credit,balance
2025-09-05,CHECK 1141 QUAYSIDE HOLDINGS,1141,4150.00,,59765.47
2025-09-08,DEBIT CARD HELMSIGHT SOFTWARE,,218.90,,59546.57
2025-09-09,CHECK 1142 SEAFORTH CORDAGE AND RIGGING,1142,3864.20,,55682.37
2025-09-10,ACH IN TIDEWATER BOATWORKS,SI-2187,,5289.30,60971.67
2025-09-12,CHECK 2038 NADIA OKONKWO,2038,356.20,,60615.47
2025-09-12,DEBIT CARD CORMORANT ENGINE REPAIR,,191.20,,60424.27
2025-09-15,DEBIT CARD SHEARWATER TELECOM,,298.40,,60125.87
2025-09-16,CHECK 1143 STATE DEPARTMENT OF REVENUE,1143,2104.38,,58021.49
2025-09-18,CHECK 2039 BLUEWATER MARINE SERVICES LLC,2039,2500.00,,55521.49
2025-09-18,ACH OUT NORTHSTAR MARINE ELECTRONICS,PI-7740,2972.15,,52549.34
2025-09-20,DEBIT CARD WAVECREST MARINE FUEL,,158.44,,52390.90
2025-09-24,ACH IN OSPREY COVE MARINA,SI-2190,,3844.80,56235.70
2025-09-29,CHECK 2041 INGRID SOLVANG,2041,2590.25,,53645.45
2025-09-30,MONTHLY SERVICE CHARGE AND CHECK IMAGE FEES,,48.00,,53597.45
2025-09-30,CHECK 2042 THEO BARROWMAN,2042,2255.70,,51341.75
2025-09-30,CHECK 2040 MARCUS PELLERIN,2040,2913.40,,48428.35
2025-09-30,CHECK 2043 FEDERAL REVENUE SERVICE,2043,1398.75,,47029.60
