date,description,reference,debit,credit,balance
2025-11-04,DEBIT CARD CLOUDPAW PRACTICE SOFTWARE,,178.50,,91667.79
2025-11-06,CHECK 4171 KILBRIDE PROPERTY HOLDINGS,4171,2850.00,,88817.79
2025-11-06,DEBIT CARD ASHGROVE AUTOCLAVE REPAIRS,,142.90,,88674.89
2025-11-06,ACH IN HOLLYBROOK BOARDING KENNELS,SI-7304,,2675.00,91349.89
2025-11-10,DEBIT CARD ORBITLINE TELECOM,,149.83,,91200.06
2025-11-12,DEBIT CARD SUMMERLEE FUEL CARDS,,188.14,,91011.92
2025-11-12,CHECK 6201 MAPLE STREET EQUINE SERVICES LLC,6201,6000.00,,85011.92
2025-11-13,ACH OUT CORBETT VETERINARY SUPPLIES,PI-5117,2913.40,,82098.52
2025-11-14,CHECK 6202 HAMISH BRODERICK,6202,358.20,,81740.32
2025-11-17,DEBIT CARD PAPERBARK STATIONERY CO,,63.29,,81677.03
2025-11-18,CHECK 6203 FEDERAL REVENUE SERVICE,6203,2087.55,,79589.48
2025-11-19,CHECK 4172 SHIELDSTONE MUTUAL INSURANCE,4172,612.40,,78977.08
2025-11-20,DEBIT CARD STATE REVENUE DEPARTMENT,,611.45,,78365.63
2025-11-24,CHECK 6204 FERNLEIGH LABORATORY SUPPLIES,6204,1156.30,,77209.33
2025-11-26,CHECK 6205 ROSALIND ACHTERMAN,6205,4862.17,,72347.16
2025-11-27,CHECK 6206 MARCUS OYELARAN,6206,3115.48,,69231.68
2025-11-28,MONTHLY SERVICE CHARGE AND ITEM FEES,,46.50,,69185.18
2025-11-28,CHECK 6207 FIONA TREMBLAY,6207,2471.93,,66713.25
